Alias;Type;Experiment;Geometry;Parent;Species;Variety;ExperimentModalities;Repetition
94/DZ_PG_21/ZM4360/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973777671 43.61281636, 3.973807921 43.61279776, 3.973855918 43.61283897, 3.973825668 43.61285757, 3.973777671 43.61281636));;Maize;iPG120;WW;2
95/DZ_PG_51/ZM4350/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973807921 43.61279776, 3.973838171 43.61277916, 3.973886169 43.61282037, 3.973855918 43.61283897, 3.973807921 43.61279776));;Maize;iPG234;WW;2
96/DZ_PG_27/ZM4354/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973838171 43.61277916, 3.973868422 43.61276056, 3.973916419 43.61280177, 3.973886169 43.61282037, 3.973838171 43.61277916));;Maize;iPG103;WW;2
97/DZ_PG_45/ZM4385/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973868422 43.61276056, 3.973898672 43.61274196, 3.97394667 43.61278317, 3.973916419 43.61280177, 3.973868422 43.61276056));;Maize;iPG194;WW;2
98/DKC4590/XXXX/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973898672 43.61274196, 3.973928923 43.61272336, 3.97397692 43.61276457, 3.97394667 43.61278317, 3.973898672 43.61274196));;Maize;DKC4590;WW;2
99/DZ_PG_30/ZM4361/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973928923 43.61272336, 3.973959173 43.61270476, 3.97400717 43.61274597, 3.97397692 43.61276457, 3.973928923 43.61272336));;Maize;iPG152;WW;2
100/DZ_PG_16/ZM4359/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973959173 43.61270476, 3.973989423 43.61268616, 3.974037421 43.61272737, 3.97400717 43.61274597, 3.973959173 43.61270476));;Maize;iPG109;WW;2
101/DZ_PG_11/ZM4386/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973989423 43.61268616, 3.974019673 43.61266756, 3.974067671 43.61270877, 3.974037421 43.61272737, 3.973989423 43.61268616));;Maize;iPG077;WW;2
102/DZ_PG_13/ZM4379/WW/2/DIA2017-05-19;Plot;;Polygon ((3.974019673 43.61266756, 3.974049924 43.61264896, 3.974097921 43.61269017, 3.974067671 43.61270877, 3.974019673 43.61266756));;Maize;iPG089;WW;2
103/DZ_PG_48/ZM4421/WW/2/DIA2017-05-19;Plot;;Polygon ((3.974049924 43.61264896, 3.974080174 43.61263036, 3.974128171 43.61267157, 3.974097921 43.61269017, 3.974049924 43.61264896));;Maize;iPG216;WW;2
104/DZ_PG_14/ZM4375/WW/2/DIA2017-05-19;Plot;;Polygon ((3.974080174 43.61263036, 3.974110424 43.61261176, 3.974158422 43.61265298, 3.974128171 43.61267157, 3.974080174 43.61263036));;Maize;iPG101;WW;2
105/DZ_PG_02/ZM4356/WW/2/DIA2017-05-19;Plot;;Polygon ((3.974032177 43.61258915, 3.974062427 43.61257055, 3.974110424 43.61261176, 3.974080174 43.61263036, 3.974032177 43.61258915));;Maize;iPG007;WW;2
106/DZ_PG_24/ZM4342/WW/2/DIA2017-05-19;Plot;;Polygon ((3.974001926 43.61260775, 3.974032177 43.61258915, 3.974080174 43.61263036, 3.974049924 43.61264896, 3.974001926 43.61260775));;Maize;iPG131;WW;2
107/DZ_PG_52/ZM4370/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973971676 43.61262635, 3.974001926 43.61260775, 3.974049924 43.61264896, 3.974019673 43.61266756, 3.973971676 43.61262635));;Maize;iPG239;WW;2
108/DZ_PG_34/ZM4384/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973941426 43.61264495, 3.973971676 43.61262635, 3.974019673 43.61266756, 3.973989423 43.61268616, 3.973941426 43.61264495));;Maize;iPG159;WW;2
109/DZ_PG_46/ZM4374/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973911176 43.61266355, 3.973941426 43.61264495, 3.973989423 43.61268616, 3.973959173 43.61270476, 3.973911176 43.61266355));;Maize;iPG195;WW;2
110/DKC4590/XXXX/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973880925 43.61268215, 3.973911176 43.61266355, 3.973959173 43.61270476, 3.973928923 43.61272336, 3.973880925 43.61268215));;Maize;DKC4590;WW;2
111/DKC4590/XXXX/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973850675 43.61270075, 3.973880925 43.61268215, 3.973928923 43.61272336, 3.973898672 43.61274196, 3.973850675 43.61270075));;Maize;DKC4590;WW;2
112/DZ_PG_63/ZM4392/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973820425 43.61271935, 3.973850675 43.61270075, 3.973898672 43.61274196, 3.973868422 43.61276056, 3.973820425 43.61271935));;Maize;iPG304;WW;2
